arch,aug,epoch,train_loss,train_acc,val_loss,val_acc,lr
ShallowCNN,medium,42,1.12086,0.60729,0.9187,0.675,0.006185
ShallowCNN,medium,43,1.1143,0.60896,0.90297,0.6788,0.004759
ShallowCNN,medium,44,1.10802,0.60869,0.90299,0.6796,0.003511
ShallowCNN,medium,45,1.09758,0.61831,0.89765,0.6824,0.002447
ShallowCNN,medium,46,1.09776,0.6148,0.89536,0.6802,0.001571
ShallowCNN,medium,47,1.08924,0.61364,0.89502,0.683,0.000886
ShallowCNN,medium,48,1.0894,0.61778,0.89054,0.683,0.000394
ShallowCNN,medium,49,1.08892,0.61849,0.88861,0.6846,9.9e-05
ShallowCNN,medium,50,1.08397,0.62076,0.88931,0.6824,0.0
ShallowCNN,aggressive,1,3.1021,0.13744,2.18449,0.207,0.099901
ShallowCNN,aggressive,2,2.22799,0.16051,2.02545,0.2482,0.099606
ShallowCNN,aggressive,3,2.13929,0.18844,1.96521,0.276,0.099114
ShallowCNN,aggressive,4,2.10731,0.20982,1.91981,0.2924,0.098429
ShallowCNN,aggressive,5,2.07491,0.22464,1.89977,0.2794,0.097553
ShallowCNN,aggressive,6,2.05448,0.23216,1.84781,0.323,0.096489
ShallowCNN,aggressive,7,2.02752,0.23916,1.82481,0.3212,0.095241
ShallowCNN,aggressive,8,2.00948,0.24573,1.77357,0.3514,0.093815
ShallowCNN,aggressive,9,1.98392,0.2528,1.73272,0.3876,0.092216
ShallowCNN,aggressive,10,1.96496,0.26562,1.75454,0.3624,0.090451
ShallowCNN,aggressive,11,1.93832,0.27438,1.73135,0.3508,0.088526
ShallowCNN,aggressive,12,1.91533,0.28231,1.65065,0.3908,0.086448
ShallowCNN,aggressive,13,1.89628,0.28878,1.56735,0.4372,0.084227
ShallowCNN,aggressive,14,1.87529,0.30204,1.55693,0.4228,0.081871
ShallowCNN,aggressive,15,1.85897,0.30929,1.57485,0.4402,0.079389
ShallowCNN,aggressive,16,1.83607,0.31653,1.59133,0.4362,0.076791
ShallowCNN,aggressive,17,1.81195,0.33024,1.50647,0.466,0.074088
ShallowCNN,aggressive,18,1.79125,0.34136,1.44054,0.475,0.071289
ShallowCNN,aggressive,19,1.76977,0.34849,1.45881,0.4728,0.068406
ShallowCNN,aggressive,20,1.73203,0.3652,1.41456,0.4676,0.065451
ShallowCNN,aggressive,21,1.71794,0.37233,1.36744,0.5088,0.062434
ShallowCNN,aggressive,22,1.6902,0.38222,1.3997,0.4836,0.059369
ShallowCNN,aggressive,23,1.67784,0.38996,1.37244,0.5076,0.056267
ShallowCNN,aggressive,24,1.65379,0.39911,1.31248,0.5268,0.05314
ShallowCNN,aggressive,25,1.63037,0.4092,1.28449,0.5384,0.05
ShallowCNN,aggressive,26,1.60871,0.41742,1.29215,0.5344,0.04686
ShallowCNN,aggressive,27,1.59276,0.42287,1.26993,0.5392,0.043733
ShallowCNN,aggressive,28,1.57053,0.43158,1.26013,0.5498,0.040631
ShallowCNN,aggressive,29,1.5667,0.43438,1.24329,0.5478,0.037566
ShallowCNN,aggressive,30,1.5443,0.44253,1.19973,0.5692,0.034549
ShallowCNN,aggressive,31,1.53377,0.44582,1.21844,0.5606,0.031594
ShallowCNN,aggressive,32,1.51427,0.45451,1.17395,0.5702,0.028711
ShallowCNN,aggressive,33,1.49988,0.45951,1.21596,0.5632,0.025912
ShallowCNN,aggressive,34,1.48655,0.46562,1.16682,0.5818,0.023209
ShallowCNN,aggressive,35,1.48695,0.46818,1.12285,0.5968,0.020611
ShallowCNN,aggressive,36,1.46816,0.47176,1.16758,0.584,0.018129
ShallowCNN,aggressive,37,1.46049,0.47507,1.15142,0.5884,0.015773
ShallowCNN,aggressive,38,1.44448,0.48333,1.13914,0.5912,0.013552
ShallowCNN,aggressive,39,1.43449,0.48633,1.1287,0.6002,0.011474
ShallowCNN,aggressive,40,1.4309,0.4892,1.0864,0.6142,0.009549
ShallowCNN,aggressive,41,1.41935,0.49271,1.07544,0.614,0.007784
ShallowCNN,aggressive,42,1.41024,0.49767,1.07522,0.6166,0.006185
ShallowCNN,aggressive,43,1.40417,0.50107,1.06705,0.6202,0.004759
ShallowCNN,aggressive,44,1.39706,0.503,1.06701,0.618,0.003511
ShallowCNN,aggressive,45,1.39262,0.50496,1.05096,0.6244,0.002447
ShallowCNN,aggressive,46,1.38522,0.50716,1.04934,0.6226,0.001571
ShallowCNN,aggressive,47,1.3858,0.507,1.05061,0.6268,0.000886
ShallowCNN,aggressive,48,1.38196,0.5068,1.045,0.6288,0.000394
ShallowCNN,aggressive,49,1.37923,0.50931,1.04408,0.6274,9.9e-05
ShallowCNN,aggressive,50,1.38614,0.50767,1.04457,0.6254,0.0
DeepCNN,none,1,6.86358,0.10669,2.30007,0.1212,0.099901
DeepCNN,none,2,2.30037,0.11151,2.29897,0.1186,0.099606
DeepCNN,none,3,2.29694,0.1122,2.29523,0.1064,0.099114
DeepCNN,none,4,2.29762,0.11202,2.29266,0.1224,0.098429
DeepCNN,none,5,2.2947,0.1142,2.28487,0.1134,0.097553
DeepCNN,none,6,2.29378,0.11407,2.29123,0.1202,0.096489
DeepCNN,none,7,2.29077,0.11673,2.27501,0.1302,0.095241
DeepCNN,none,8,2.28987,0.11969,2.28157,0.1388,0.093815
DeepCNN,none,9,2.28598,0.12393,2.27491,0.1354,0.092216
DeepCNN,none,10,2.28443,0.12562,2.27467,0.1216,0.090451
DeepCNN,none,11,2.28158,0.13022,2.26214,0.1338,0.088526
DeepCNN,none,12,2.27552,0.13096,2.26301,0.151,0.086448
DeepCNN,none,13,2.26802,0.1376,2.26274,0.1482,0.084227
DeepCNN,none,14,2.25505,0.14622,2.23453,0.1508,0.081871
DeepCNN,none,15,2.25059,0.14429,2.22575,0.1536,0.079389
DeepCNN,none,16,2.24274,0.15298,2.20925,0.1852,0.076791
DeepCNN,none,17,2.23687,0.15571,2.18731,0.1716,0.074088
DeepCNN,none,18,2.19557,0.17438,2.12004,0.206,0.071289
DeepCNN,none,19,2.14067,0.19193,2.04528,0.2316,0.068406
DeepCNN,none,20,2.08876,0.20984,2.00506,0.2474,0.065451
DeepCNN,none,21,2.05275,0.21716,1.96247,0.256,0.062434
DeepCNN,none,22,2.0158,0.22291,1.9316,0.2642,0.059369
DeepCNN,none,23,1.98283,0.23044,1.90588,0.28,0.056267
DeepCNN,none,24,1.95302,0.243,1.86116,0.2934,0.05314
DeepCNN,none,25,1.92289,0.26118,1.83317,0.29,0.05
DeepCNN,none,26,1.88773,0.27531,1.81118,0.318,0.04686
DeepCNN,none,27,1.87749,0.28071,1.81373,0.318,0.043733
DeepCNN,none,28,1.85171,0.29349,1.7802,0.3264,0.040631
DeepCNN,none,29,1.8372,0.30224,1.73405,0.3424,0.037566
DeepCNN,none,30,1.81326,0.31209,1.71973,0.353,0.034549
DeepCNN,none,31,1.79707,0.31896,1.70837,0.3546,0.031594
DeepCNN,none,32,1.77145,0.32918,1.68535,0.3642,0.028711
DeepCNN,none,33,1.75888,0.33389,1.67957,0.3702,0.025912
DeepCNN,none,34,1.75052,0.34018,1.67166,0.3562,0.023209
DeepCNN,none,35,1.73387,0.34651,1.6573,0.3714,0.020611
DeepCNN,none,36,1.72546,0.35111,1.64767,0.3898,0.018129
DeepCNN,none,37,1.71326,0.35282,1.62647,0.3858,0.015773
DeepCNN,none,38,1.70658,0.35833,1.61801,0.3958,0.013552
DeepCNN,none,39,1.69628,0.36002,1.62992,0.3778,0.011474
DeepCNN,none,40,1.69385,0.36498,1.62064,0.3922,0.009549
DeepCNN,none,41,1.67973,0.36731,1.60768,0.3962,0.007784
DeepCNN,none,42,1.67842,0.36731,1.60363,0.3932,0.006185
DeepCNN,none,43,1.67089,0.37164,1.59822,0.4046,0.004759
DeepCNN,none,44,1.66761,0.37449,1.58934,0.4018,0.003511
DeepCNN,none,45,1.66186,0.377,1.59302,0.4026,0.002447
DeepCNN,none,46,1.65586,0.38271,1.58566,0.4052,0.001571
DeepCNN,none,47,1.65251,0.38029,1.58247,0.4076,0.000886
DeepCNN,none,48,1.65302,0.38396,1.58421,0.405,0.000394
DeepCNN,none,49,1.6523,0.38171,1.582,0.4068,9.9e-05
DeepCNN,none,50,1.65284,0.37922,1.58171,0.4066,0.0
DeepCNN,basic,1,6.76685,0.102,2.30301,0.1048,0.099901
DeepCNN,basic,2,2.30427,0.10224,2.30524,0.0942,0.099606
