arch,aug,epoch,train_loss,train_acc,val_loss,val_acc,lr
DeepCNN,medium,6,2.14259,0.16909,2.0155,0.2272,0.009649
DeepCNN,medium,7,2.08802,0.19009,1.97575,0.2422,0.009524
DeepCNN,medium,8,2.03671,0.20578,1.88784,0.2694,0.009382
DeepCNN,medium,9,2.0145,0.21184,1.88419,0.2738,0.009222
DeepCNN,medium,10,1.98429,0.22202,1.86489,0.2952,0.009045
DeepCNN,medium,11,1.96852,0.22807,1.83625,0.2964,0.008853
DeepCNN,medium,12,1.94379,0.24029,1.80767,0.3322,0.008645
DeepCNN,medium,13,1.93104,0.24927,1.80779,0.3116,0.008423
DeepCNN,medium,14,1.90392,0.26313,1.76024,0.3474,0.008187
DeepCNN,medium,15,1.87233,0.27916,1.74256,0.3424,0.007939
DeepCNN,medium,16,1.83909,0.2958,1.66063,0.3774,0.007679
DeepCNN,medium,17,1.80233,0.3114,1.58667,0.4092,0.007409
DeepCNN,medium,18,1.75639,0.33333,1.55324,0.4094,0.007129
DeepCNN,medium,19,1.71541,0.35262,1.50216,0.4312,0.006841
DeepCNN,medium,20,1.67285,0.3712,1.50791,0.4416,0.006545
DeepCNN,medium,21,1.63912,0.38451,1.42919,0.4554,0.006243
DeepCNN,medium,22,1.60664,0.4004,1.44611,0.4492,0.005937
DeepCNN,medium,23,1.56843,0.41729,1.38054,0.4994,0.005627
DeepCNN,medium,24,1.5396,0.42942,1.3568,0.505,0.005314
DeepCNN,medium,25,1.51243,0.443,1.33544,0.5192,0.005
DeepCNN,medium,26,1.47221,0.45611,1.28256,0.5366,0.004686
DeepCNN,medium,27,1.44463,0.46873,1.26364,0.538,0.004373
DeepCNN,medium,28,1.42029,0.48342,1.2065,0.566,0.004063
DeepCNN,medium,29,1.38252,0.49318,1.19234,0.5652,0.003757
DeepCNN,medium,30,1.35365,0.51036,1.19569,0.572,0.003455
DeepCNN,medium,31,1.328,0.51898,1.16281,0.577,0.003159
DeepCNN,medium,32,1.31013,0.52589,1.13579,0.5894,0.002871
DeepCNN,medium,33,1.28489,0.5354,1.09829,0.6052,0.002591
DeepCNN,medium,34,1.26673,0.54484,1.11652,0.5982,0.002321
DeepCNN,medium,35,1.24639,0.55089,1.07852,0.6154,0.002061
